        id           X            Y       Z  Nbrs_Moules id_moules
 105714831  252008.000  5188283.000  19.605            0       186
 105715294  252007.000  5188284.000  19.402            0       186
 105715295  252008.000  5188284.000  19.548            0       186
 105714366  252008.941  5188282.157  19.800            0       186
 105714367  252010.000  5188282.000  19.845            0       186
 105714832  252009.000  5188283.000  19.732            0       186
 105714833  252010.000  5188283.000  19.811            0       186
 105715296  252009.000  5188284.000  19.667            0       186
 105715297  252010.251  5188283.667  19.800            0       186
 105715756  252007.000  5188285.000  19.344            0       186
 105715757  252008.000  5188285.000  19.490            0       186
 105715758  252008.741  5188284.977  19.600            0       186
 105715759  252010.000  5188285.000  19.716            0       186
 105716217  252007.231  5188286.287  19.300            0       186
 105716218  252008.000  5188286.000  19.439            0       186
 105716219  252009.000  5188286.000  19.587            0       186
 105716220  252010.051  5188286.487  19.700            0       186
 105714368  252011.000  5188282.000  19.883            0       186
 105714369  252011.775  5188282.363  19.900            0       186
 105714834  252011.000  5188283.000  19.847            0       186
 105714835  252012.000  5188283.000  19.861            0       186
 105715298  252011.000  5188284.000  19.811            0       186
 105715299  252012.000  5188284.000  19.817            0       186
 105714370  252013.000  5188282.000  19.990            0       186
 105714371  252014.000  5188282.000  20.032            0       186
 105714836  252013.000  5188283.000  19.887            0       186
 105714837  252014.000  5188283.000  19.924            0       186
 105715300  252013.071  5188283.877  19.800            0       186
 105715301  252014.000  5188284.000  19.796            0       186
 105715760  252011.000  5188285.000  19.781            0       186
 105715761  252011.561  5188285.177  19.800            0       186
 105716221  252011.000  5188286.000  19.751            0       186
 105716222  252012.000  5188286.000  19.788            0       186
 105716682  252012.871  5188286.697  19.800            0       186
 105715762  252013.000  5188285.000  19.776            0       186
 105715763  252014.381  5188285.387  19.700            0       186
 105716223  252013.000  5188286.000  19.778            0       186
 105716224  252014.000  5188286.000  19.731            0       186
 105716675  252006.000  5188287.000  19.131            0       186
 105716676  252007.000  5188287.000  19.272            0       186
 105716677  252008.000  5188287.000  19.420            0       186
 105717134  252007.000  5188288.000  19.282            0       186
 105717135  252008.000  5188288.000  19.425            0       186
 105716678  252009.000  5188287.000  19.563            0       186
 105716679  252010.000  5188287.000  19.666            0       186
