Latitude;Longitude;Total;Classe;Date;source
46.89203;-71.12298;0;Inexistant;2013-01-01;LakestrugeonRichelieu
46.27395;-72.6265;0;Inexistant;2013-01-01;LakestrugeonRichelieu
46.269817;-72.6894;2;Inexistant;2013-01-01;LakestrugeonRichelieu
46.943056;-70.761389;0;Inexistant;1999-09-16;LakestrugeonRichelieu
45.863056;-73.15;1;Inexistant;2007-06-22;LakestrugeonRichelieu
46.741471;-71.294771;19;Commun;1975-01-01;LakestrugeonRichelieu
46.6625;-71.634444;1;Inexistant;1997-01-01;LakestrugeonRichelieu
46.66801;-71.70291;1;Inexistant;1997-01-01;LakestrugeonRichelieu
46.67107;-71.87836;2;Inexistant;2006-01-01;LakestrugeonRichelieu
46.73927;-71.27312;7;Rare;2008-01-01;LakestrugeonRichelieu
